filename,image_size,sha256,label,pred_label,rho,beta,bp_ref,rotation_k,latency_ms
01 (6)_2.jpg,1512x2016,3682d980c29265d6f9ec2a797f4efd59dd72c9388dd5ddc1d7a81aa6ac68031e,0,,0.001906,0.0072,BP05_12MP_SLM_HEIC.mat,1,3042.1
01 (6)_3.jpg,1512x2016,960b71d4015e530507eb622411e89d1988507ff7004d3e84fef03fef12caee66,0,,0.001047,0.0072,BP08_12MP_NL_JPEG.mat,2,4841.6
01 (6)_4.jpg,2016x1512,c5e91151a3c80bb07a7bf9131f09f6da9c1afd3b690a11a962ddbe61e4beffeb,1,,0.085669,0.0072,BP04_12MP_NL_JPEG.mat,0,4176.2
01 (6)_5.jpg,2016x1512,1ed88ccf36ef0aafc8bd83cda0c854162e64c2ae79600e4d201a7fd80861ca27,1,,0.004481,0.0072,BP04_12MP_NL_JPEG.mat,0,3101.7
01 (6)_6.jpg,2016x1512,321e8911835748c33103503862e36cbd857cfebbb5820b8ff1125f36701a5230,1,,0.068678,0.0072,BP04_12MP_NL_JPEG.mat,0,3641.9
01 (7).jpg,1512x2016,54227a44247e30cd69f75ee1b4bfaade361ae4364d0ed3263fe615d9e95b34d5,,,0.001096,0.0072,BP06_12MP_NL_HEIC.mat,2,3555.0
01 (7)_1.jpg,1512x2016,8c909bd72c9fbf6e00fa7be82b3dd839e61860c14d404be7fedde42e0f53e70b,0,,0.001525,0.0072,BP05_12MP_SLM_HEIC.mat,3,4341.4
01 (7)_2.jpg,1512x2016,5523a98226037cc751db5b75c5609c9fec1931634197462f90ed56d95c7d19d5,0,,0.001865,0.0072,BP06_12MP_SLM_HEIC.mat,3,3412.2
01 (7)_3.jpg,1512x2016,6b887810ca072a28c1108c0bc40b2bc9d505b5ad32266f4a5b921cab075c23da,0,,0.001449,0.0072,BP01_12MP_NL_JPEG.mat,0,4586.8
01 (7)_4.jpg,2016x1512,5816ec09e8a501bc2a57fbf4e9063106cc29bef06dae0024c2a05dbd4e51c440,1,,0.11303,0.0072,BP04_12MP_NL_JPEG.mat,0,5616.6
01 (7)_5.jpg,2016x1512,db5cbc48fcfff84c3c2e784753852b73c06a4ce5613466e7d02b3ee80d5dd386,1,,0.006541,0.0072,BP04_12MP_NL_JPEG.mat,0,4369.1
01 (7)_6.jpg,2016x1512,cfc8fae7782836c08d22ef105c45c028ea0e87b3b22ae0df71a54416d20b027c,1,,0.072814,0.0072,BP04_12MP_NL_JPEG.mat,0,4137.8
01 (8).jpg,1512x2016,172d871c050e8353f5ad39480902ff9c7f6548e9e858af59af0abe5a10f31477,,,0.001045,0.0072,BP08_12MP_NL_JPEG.mat,1,4252.8
01 (8)_1.jpg,1512x2016,a94e26075ba9a6652359c265196e2ad8f1cea026e1f555461bd1657ff2c3f573,0,,0.001893,0.0072,BP03_12MP_NL_JPEG.mat,1,4098.5
01 (8)_2.jpg,1512x2016,578c4461ced142a044e7edd9f3a9e1700aeed2962132583d84a872457e1fbcf5,0,,0.001831,0.0072,BP01_12MP_NL_JPEG.mat,0,4216.7
01 (8)_3.jpg,1512x2016,0f6af3d441628421be66c38c35c429ecf0746efed29bf3949501b5770eb0a045,0,,0.001367,0.0072,BP05_12MP_SLM_HEIC.mat,2,4520.8
01 (8)_4.jpg,2016x1512,9503af30592b11d2ea27cb3eb44dec7e2b091501063aec2ce569359ca5dbbfd6,1,,0.051333,0.0072,BP04_12MP_NL_JPEG.mat,0,5502.7
01 (8)_5.jpg,2016x1512,0e2e8fbce19d221122c77e35b874fc9675f999e45163807671600b71ff745ee4,1,,0.035767,0.0072,BP04_12MP_NL_JPEG.mat,0,4888.0
01 (8)_6.jpg,2016x1512,cfba54bfabb70142f1eff2ddc8ecd23bd46c63a8acffac0fd228cb0308c1a1df,1,,0.086333,0.0072,BP04_12MP_NL_JPEG.mat,0,5059.7
01 (9.0).jpg,1512x2016,6b383472b8b533aa14aa62f5f771bbdbe28a0ccd2eec74bfe1d20d37d4acf323,,,0.001183,0.0072,BP06_12MP_NL_HEIC.mat,0,3203.7
01 (9.0)_1.jpg,1512x2016,b05fbb8142712f3f0694496ebd2d7c306a21b95f6d9ae5aaad4e06fd39079c7c,0,,0.002025,0.0072,BP01_12MP_NL_JPEG.mat,3,3893.1
01 (9.0)_2.jpg,1512x2016,bfe904bf4435678ca4ea7950ae8cf720a8551e5297bc204ed4fc76ab9d5aba23,0,,0.001458,0.0072,BP06_12MP_SLM_HEIC.mat,1,4154.1
01 (9.0)_3.jpg,1512x2016,32ed1964792b1608f1b13b1abe2af2cd2db7c4a0b1a93a35cdbffc6d5afb8ac2,0,,0.001363,0.0072,BP08_12MP_NL_JPEG.mat,2,3789.8
01 (9.0)_4.jpg,2016x1512,32bffa5da3d4e9f2f4c41bedf3b75ec7767b72a2e65295faadfe07e860f618b4,1,,0.040442,0.0072,BP04_12MP_NL_JPEG.mat,0,3714.0
01 (9.0)_5.jpg,2016x1512,8b9294598815bbed87213997f1ad4cd27c219031986393d207aa0ccbd551a9a0,1,,0.034172,0.0072,BP04_12MP_NL_JPEG.mat,0,3873.1
01 (9.0)_6.jpg,2016x1512,644708518676b88296125e828db221537c0c9aa1a70597b1b230fd44fa2ffc2a,1,,0.171008,0.0072,BP04_12MP_NL_JPEG.mat,0,3224.7
01 (9.1).jpg,1512x2016,353cbf039a86f4ebf25697efa73624e6bd343f31b799baab52092c2b22e32b37,,,0.001337,0.0072,BP06_12MP_NL_HEIC.mat,1,3702.4
01 (9.1)_1.jpg,1512x2016,ed713de5f71f8327abefe12b6a7a80dce15a62dd89403e1ae201a09630f2fcfd,0,,0.001831,0.0072,BP08_12MP_NL_JPEG.mat,3,5820.5
01 (9.1)_2.jpg,1512x2016,df4ccb7c4941862c8eb2bb5050ba4c0fe97546aa569459cac2f6e10832a6c5f6,0,,0.001637,0.0072,BP02_12MP_NL_JPEG.mat,2,3510.1
01 (9.1)_3.jpg,1512x2016,86b5233a58854f4e7a5b28ecdcc86603a329fc38ab2d5f140e872d021d898141,0,,0.002376,0.0072,BP03_12MP_NL_JPEG.mat,3,4032.5
01 (9.1)_4.jpg,2016x1512,686f34aadd8105655c85e7e81cfe87446fb227e42a3d1907cc28236a402ca5f4,1,,0.106094,0.0072,BP04_12MP_NL_JPEG.mat,0,3731.8
01 (9.1)_5.jpg,2016x1512,91f748a8ee27deebb413bef1b55b8e363aa0e3b7f5b1bbf8b1ff8ec81aadb335,1,,0.06942,0.0072,BP04_12MP_NL_JPEG.mat,0,4286.5
01 (9.1)_6.jpg,2016x1512,ccbee771e80de655e67c4cc7ff8505662706d630a8cc82ceb269140012d996f7,1,,0.03551,0.0072,BP04_12MP_NL_JPEG.mat,0,4114.5
54588806927_f5b74e5c57_o.jpg,1512x2016,de7da21aed07722a4dcffabc75a41637072191d2348d48eddb66efbeb308c6ea,1,,0.001104,0.0072,BP06_12MP_SLM_HEIC.mat,3,4943.8
54588806952_8f8beec3d9_o.jpg,1512x2016,cf01251b4095857b08dd984fbc8aa2a1b31a5f30b7160779cc24dcf670b9e092,1,,0.001387,0.0072,BP02_12MP_NL_JPEG.mat,1,3571.5
54588807642_a8c5401bfb_o.jpg,1512x2016,5d095bee70ef380b1f14cd9fd7b05abfc8e2cdd4544e5c6de3116afaa3fec800,1,,0.001504,0.0072,BP06_12MP_NL_HEIC.mat,2,3923.5
54588807742_21e2e7ba93_o.jpg,1512x2016,b6705db17c79b103c9b12877679f8707185213f6bca39c7f59d401101b2a27ad,1,,0.002085,0.0072,BP03_12MP_NL_JPEG.mat,0,5577.6
54589686541_d0bbf41a69_o.jpg,1512x2016,51945935d1de43911e1923490c33746ae8bf0f49f2c51ffd2b9731f3c2556d88,1,,0.001398,0.0072,BP02_12MP_NL_JPEG.mat,2,3300.5
54589998780_6b238366df_o.jpg,1512x2016,7bc47b860b0173c7dd3b543a13b55c1ab6a05672746c4edd4b6375d63424f2a0,1,,0.002242,0.0072,BP06_12MP_SLM_HEIC.mat,3,3653.9
PORTRAIT_0050_20170718_104704_950.jpg,1512x2016,aa53a689d88cd9a5cb59c8941bd8327a333456d0b01a32f4498559794ed7a1d8,,,0.001835,0.0072,BP06_12MP_NL_HEIC.mat,2,3684.8
PORTRAIT_0050_20170719_142756_707.jpg,1512x2016,c1c399cc17a84af8da47bb73f7082dda97510c47079ea607f243cc74d8d8b836,,,0.001517,0.0072,BP03_12MP_NL_JPEG.mat,2,3594.3
PORTRAIT_0050_20170725_182616_746.jpg,1512x2016,aba07d54d44a604fd57c7bfa33dcc927fe068874c1bed9fb26a8033724d3e194,,,0.001062,0.0072,BP04_12MP_NL_JPEG.mat,1,3065.9
PORTRAIT_0050_20170725_185728_022.jpg,1512x2016,532586d315b5c8cc8332aba21f005aacf995efcd9e5636f4b2b63ff0e0a162c3,,,0.001387,0.0072,BP08_12MP_NL_JPEG.mat,0,3723.4
PORTRAIT_0050_20170806_163412_637.jpg,1512x2016,abe0689be2962af47e5fde111b8e0b4e89bc5f61fd4b9dbb9bb6ec5b6407e753,,,0.001241,0.0072,BP05_12MP_SLM_HEIC.mat,0,5292.0
PORTRAIT_0050_20170809_154004_802.jpg,1512x2016,990d23bd0c2946bf1a1e52106548830aca741d889cfdb7d6f207770c03ca928e,,,0.001516,0.0072,BP06_12MP_NL_HEIC.mat,3,3752.7
PORTRAIT_0181_20170715_124004_796.jpg,1512x2016,d1262d9bdaad9ca6d8ab053c1e261bdacb2ef8e17539574383958bbb78110be6,,,0.001536,0.0072,BP06_12MP_SLM_HEIC.mat,3,4416.1
PORTRAIT_0222_20170812_202647_946.jpg,1512x2016,0799ce5e3ad2ec48ffe05bffbfcc7838b4d7968ba1a2a502e73c896c9126c8f2,,,0.001101,0.0072,BP06_12MP_NL_HEIC.mat,2,4650.9
PORTRAIT_0289_20170809_100620_690.jpg,1512x2016,8ee8bce4052ec23d6089958c49bb03f97ebdee062dc32330d60b6eb25b57ddaa,,,0.001741,0.0072,BP05_12MP_SLM_HEIC.mat,3,4213.4
PORTRAIT_0508_20170823_165159_189.jpg,1512x2016,e43dff6ff2cf8ca707ac2dac7f782b549b8f9ce27fa072dd9e17a8b7890b05c9,,,0.001154,0.0072,BP01_12MP_NL_JPEG.mat,3,3402.9
PORTRAIT_0578_20170810_204504_835.jpg,1512x2016,5c059e490a35bdb611071d4b1438854666ecba945195b85a23ddaa32a502a16b,,,0.002204,0.0072,BP07_12MP_SLM_HEIC.mat,0,4614.1
PORTRAIT_0578_20170817_153638_385.jpg,1512x2016,2d06127f9faa3b53ab17da3462e961ca4f911e5ec49f15cc8570410e1db3aaf0,,,0.002115,0.0072,BP06_12MP_NL_HEIC.mat,2,4688.1
PORTRAIT_0578_20170817_173638_329.jpg,1512x2016,c82716cebd0a6bb879e2e3dde5eb961d5060280385e4515088547e3a7aa48fc5,,,0.001159,0.0072,BP02_12MP_NL_JPEG.mat,2,3933.9
PORTRAIT_5702_20170819_133222_151.jpg,1512x2016,4876eedd1bb2304409a46c80676942b08b8cd9e0b69946f9b17e1b75d254889e,,,0.000775,0.0072,BP05_12MP_SLM_HEIC.mat,0,3073.1
PORTRAIT_5702_20170831_121406_392.jpg,1512x2016,d494de036642ccbe88fbb00c411d11dba3910be2e1ed30559bd18f5ce2a3de22,,,0.001472,0.0072,BP05_12MP_SLM_HEIC.mat,1,5058.6
PORTRAIT_5702_20170910_123953_906.jpg,1512x2016,55c553ad9a3f61c98dccbedca62c4405dff66366de5af67eccd7ca65d86a33c6,,,0.00135,0.0072,BP06_12MP_NL_HEIC.mat,1,3515.1
PORTRAIT_5702_20170910_124847_196.jpg,1512x2016,c7abaa1272ecdafb675b8f10499ad3f715f4c67faede8dadb489d186bf9e182c,,,0.001163,0.0072,BP05_12MP_SLM_HEIC.mat,3,3873.4
img_338651249.jpg,2016x1512,e936d27e6a15d84452fe86cb16bc667a924887e272cd5dd0f8d8e755bfb9f616,0,,0.001351,0.0072,BP06_12MP_NL_HEIC.mat,3,3729.2
photo_16.jpg,2016x1512,d2f799b3f78744e27e082c6d8e4600a62c16b53f7b59a8654c25bf041ab0825b,1,,0.001441,0.0072,BP02_12MP_NL_JPEG.mat,0,4325.2
photo_4.jpg,2016x1512,bf66805808e2a4916cbdb12a90ec179fe66bcc5b332052a4c68f17d7b8dcb48e,1,,0.330321,0.0072,BP05_12MP_SLM_HEIC.mat,0,3603.7
photo_6.jpg,2016x1512,ab261f226e08fd91adf537850d08e887945195c75ac1aad1be32b785c013075c,1,,0.05119,0.0072,BP04_12MP_NL_JPEG.mat,0,3005.4
