filename,label,source,notes
01 (9.1)_1.jpg,0,Dataset,OS: G960FXXS7DTB5 | Path: .
01 (9.1)_2.jpg,0,Dataset,OS: G965FXXS7CSK4 | Path: .
01 (9.1)_3.jpg,0,Dataset,OS: A705FXXU5BTC2 | Path: .
01 (9.1)_4.jpg,1,Dataset,OS: 13.4 | Path: .
01 (9.1)_5.jpg,1,Dataset,OS: 13.4.1 | Path: .
01 (9.1)_6.jpg,1,Dataset,OS: 13.3.1 | Path: .
img_338651249.jpg,0,Dataset,OS: Picasa | Path: .
portrait_0050_20170718_104704_950.jpg,0,Dataset,OS: HDR+ 1.0.162266548z | Path: .
portrait_0050_20170719_142756_707.jpg,0,Dataset,OS: HDR+ 1.0.162266548z | Path: .
portrait_0050_20170725_182616_746.jpg,0,Dataset,OS: HDR+ 1.0.162691864z | Path: .
portrait_0050_20170725_185728_022.jpg,0,Dataset,OS: HDR+ 1.0.162691864z | Path: .
portrait_0050_20170806_163412_637.jpg,0,Dataset,OS: HDR+ 1.0.164138551z | Path: .
portrait_0050_20170809_154004_802.jpg,0,Dataset,OS: HDR+ 1.0.164138551z | Path: .
portrait_0181_20170715_124004_796.jpg,0,Dataset,OS: HDR+ 1.0.162050537z | Path: .
portrait_0222_20170812_202647_946.jpg,0,Dataset,OS: HDR+ 1.0.163109750z | Path: .
portrait_0289_20170809_100620_690.jpg,0,Dataset,OS: HDR+ 1.0.163537867z | Path: .
portrait_0508_20170823_165159_189.jpg,0,Dataset,OS: HDR+ 1.0.165812133z | Path: .
portrait_0578_20170810_204504_835.jpg,0,Dataset,OS: HDR+ 1.0.163537867z | Path: .
portrait_0578_20170817_153638_385.jpg,0,Dataset,OS: HDR+ 1.0.165040487z | Path: .
portrait_0578_20170817_173638_329.jpg,0,Dataset,OS: HDR+ 1.0.165040487z | Path: .
portrait_5702_20170819_133222_151.jpg,0,Dataset,OS: HDR+ 1.0.165786234z | Path: .
portrait_5702_20170831_121406_392.jpg,0,Dataset,OS: HDR+ 1.0.166778486z | Path: .
portrait_5702_20170910_123953_906.jpg,0,Dataset,OS: HDR+ 1.0.167829695z | Path: .
portrait_5702_20170910_124847_196.jpg,0,Dataset,OS: HDR+ 1.0.167829695z | Path: .
photo_16.jpg,0,Dataset,OS: 11.1.2
photo_4.jpg,1,Dataset,OS: 13.3.1
photo_6.jpg,1,Dataset,OS: 14.2
img_0211.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0212.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0213.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0214.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0215.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0216.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
img_0217.heic,1,Dataset,Notes: Folder: iPhone13ProMax 18.6.2 | Apple
