filename,exif_make,exif_model,custom_rendered,exif_prediction
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (5).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (6).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (7).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (8).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (9.0).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C05/bokeh/01 (9.1).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (1).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (2).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (3).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (4).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (5).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (6).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (7).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (8).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (9.0).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C06/bokeh/01 (9.1).jpg,HUAWEI,POT-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (1).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (2).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (3).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (4).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (5).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (6).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (7).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (8).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (9.0).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C07/bokeh/01 (9.1).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (1).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (2).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (3).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (4).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (5).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (6).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (7).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (8).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (9.0).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C08/bokeh/01 (9.1).jpg,HUAWEI,ANE-LX1,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (1).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (2).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (3).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (4).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (5).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (6).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (7).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (8).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (9.0).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C09/bokeh/01 (9.1).jpg,HUAWEI,VTR-L09,1,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (1).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (2).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (3).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (4).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (5).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (6).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (7).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (8).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (9.0).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C10/bokeh/01 (9.1).jpg,Xiaomi,Mi Note 10,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (1).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (2).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (3).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (4).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (5).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (6).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (7).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (8).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (9.0).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C11/bokeh/01 (9.1).jpg,Xiaomi,Redmi Note 8T,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (1).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (2).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (3).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (4).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (5).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (6).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (7).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (8).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (9.0).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C12/bokeh/01 (9.1).jpg,Xiaomi,Mi A3,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (1).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (2).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (3).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (4).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (5).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (6).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (7).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (8).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (9.0).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C13/bokeh/01 (9.1).jpg,samsung,SM-G920F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (1).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (2).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (3).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (4).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (5).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (6).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (7).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (8).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (9.0).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C14/bokeh/01 (9.1).jpg,samsung,SM-G960F,,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (1).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (2).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (3).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (4).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (5).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (6).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (7).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (8).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (9.0).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C15/bokeh/01 (9.1).jpg,samsung,SM-G965F,0,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (1).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (2).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (3).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (4).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (5).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (6).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (7).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (8).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (9.0).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C16/bokeh/01 (9.1).jpg,samsung,SM-A705F,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (1).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (2).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (3).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (4).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (5).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (6).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (7).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (8).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (9.0).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C17/bokeh/01 (9.1).jpg,OnePlus,ONEPLUS A6013,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (1).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (2).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (3).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (4).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (5).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (6).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (7).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (8).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (9.0).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C18/bokeh/01 (9.1).jpg,OnePlus,ONEPLUS A6003,,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (1).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (2).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (3).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (4).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (5).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (6).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (7).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (8).jpg,Apple,iPhone X,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (9.0).jpg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C19/bokeh/01 (9.1).jpg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (1).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (2).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (3).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (4).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (5).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (6).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (7).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (8).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (9.0).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C20/bokeh/01 (9.1).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (1).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (2).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (3).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (4).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (5).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (6).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (7).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (8).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (9.0).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C21/bokeh/01 (9.1).JPG,Apple,iPhone 11,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (1).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (2).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (3).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (4).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (5).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (6).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (7).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (8).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (9.0).jpeg,Apple,iPhone 11 Pro Max,8,0
Puclic_Source/PrnuModernDevices/C22/bokeh/01 (9.1).jpeg,Apple,iPhone 11 Pro Max,8,0
Selfie_camera/iphone_11_iOS_16-1.heic,,,,0
Selfie_camera/iphone_11_promax_iOS_18-6-2.heic,,,,0
Selfie_camera/iphone_15_iOS_18-7.heic,,,,0
